Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
172791,611867245,G,7.19303,-5.04228,-3.38501,-3.853,6.07313,-0.598127,-2.55037,1,G,7.35881,-7.25119,-1.2435,-0.122038,7.35704,-0.0165871,-2.97176,-1
172791,610756718,G,30.5676,7.53554,3.89665,29.3667,8.48341,1.95513,0.477236,-1,G,44.6627,14.246,6.93336,41.758,15.8436,1.69646,0.452943,1
172791,611226742,G,14.8423,6.29858,-12.9225,3.69042,14.3758,0.253972,-1.11727,-1,G,11.0063,6.5053,-8.82721,0.942842,10.9653,0.0858783,-0.935693,1
172791,610893404,G,35.9661,-28.5052,0.676283,21.9212,28.5133,0.708126,3.11787,-1,G,17.8867,-12.2141,0.24001,13.0645,12.2164,0.929619,3.12194,1
172791,611798613,G,7.27826,-3.11671,-2.57356,-6.05184,4.04192,-1.19325,-2.45136,1,G,23.1311,-12.7632,-9.39788,-16.8468,15.8499,-0.925156,-2.5069,-1
172791,611540147,G,21.7855,-15.0531,-13.9043,-7.39402,20.4921,-0.35342,-2.39585,1,G,9.61642,-6.26883,-5.51435,-4.77053,8.34903,-0.544136,-2.42014,-1
172791,611612331,G,24.2333,-7.3895,6.3074,-22.2003,9.71535,-1.56431,2.43503,1,G,45.2525,-17.1929,9.43233,-40.7825,19.6103,-1.4787,2.63981,-1
172791,610915913,G,8.53045,1.72692,0.465784,-8.34016,1.78864,-2.24408,0.26345,-1,G,5.63603,3.86875,-1.05757,-3.95828,4.0107,-0.872102,-0.266844,-1
172791,610720337,G,16.1616,-2.43804,-15.9405,-1.06951,16.1259,-0.0662744,-1.72257,1,G,9.09554,0.896667,-8.76462,-2.25724,8.81037,-0.253479,-1.46885,-1
172791,612631105,G,27.6309,4.70963,-2.7161,-27.0906,5.43672,-2.30908,-0.52312,1,G,5.8379,2.75657,-1.13759,-5.01769,2.98208,-1.29197,-0.391391,-1
172791,612364709,G,15.0821,12.9018,-7.52588,2.08848,14.9364,0.139373,-0.528063,1,G,18.5811,16.8211,-6.52949,4.43431,18.0439,0.243342,-0.37027,-1
172791,612442701,G,35.3085,4.36351,10.945,33.2843,11.7828,1.76154,1.19143,-1,T,49.8665,6.29291,18.7958,45.7578,19.8212,1.57367,1.24772,1
172791,613253589,G,10.8014,10.1109,3.10913,-2.18249,10.5781,-0.204885,0.298327,1,G,20.0001,17.5818,9.41073,1.52065,19.9419,0.0761801,0.491452,-1
172791,612929532,G,7.42032,-1.16764,7.27454,-0.876201,7.36765,-0.118647,1.72995,1,G,8.02873,-1.84154,7.15704,-3.13605,7.39016,-0.412552,1.82264,-1
172791,612340022,G,13.5779,-8.46722,7.75387,7.24785,11.4811,0.595465,2.40014,1,G,22.234,-15.9253,12.8426,8.70584,20.4584,0.413641,2.46294,-1
172791,612644691,G,8.0438,2.16718,3.93066,-6.67419,4.48851,-1.1875,1.06691,-1,G,8.24557,4.59647,2.05823,-6.52798,5.03625,-1.07613,0.42101,1
172791,612113198,G,11.6987,-5.95277,0.462627,-10.0597,5.97072,-1.29311,3.06403,1,G,8.8225,-5.19471,2.02749,-6.8359,5.57636,-1.03243,2.76948,-1
172791,612576182,G,14.1333,-4.13566,13.0315,-3.57998,13.672,-0.258944,1.8781,1,G,11.5922,-2.50496,11.257,-1.17248,11.5323,-0.101495,1.78975,-1
172791,612708968,G,10.9144,-0.639475,2.37546,10.633,2.46003,2.17006,1.83376,1,T,9.54792,-1.97672,-0.933669,9.29367,2.18613,2.1539,-2.70032,1
172791,612841687,G,10.676,-4.11473,5.28505,-8.31285,6.69796,-1.04202,2.23233,-1,G,15.9804,-7.80234,4.55787,-13.18,9.03608,-1.17158,2.6129,1
172791,612711010,G,16.5533,-4.11819,-0.80702,-16.0122,4.19652,-2.04899,-2.94808,1,G,7.92626,-0.109642,1.54508,-7.77272,1.54896,-2.31597,1.64164,-1
172791,612164095,G,18.8046,18.6402,1.21984,2.15829,18.68,0.115284,0.0653483,1,G,11.2453,10.7523,3.05116,1.23409,11.1768,0.110192,0.276499,-1
172791,613043235,G,18.3664,-4.94891,7.79063,15.8785,9.22961,1.31111,2.13672,1,T,8.36032,-3.06884,2.30268,7.42723,3.83668,1.41457,2.49787,1
172791,612930453,G,15.0157,-8.35337,-10.5793,6.61523,13.4796,0.47293,-2.23916,1,G,12.0031,-6.2258,-6.50022,7.94033,9.00074,0.795567,-2.33463,-1
172791,613647363,G,9.31511,0.296285,-1.96006,9.10112,1.98233,2.22893,-1.42077,1,T,3.27311,-1.17662,-0.265441,3.04092,1.20619,1.65504,-2.91971,-1
172791,614288731,G,8.75756,-2.23182,-3.49203,-7.71417,4.14431,-1.37987,-2.13948,1,G,10.4805,-6.17556,-3.88645,-7.52255,7.20827,-0.903286,-2.57965,1
172791,614015727,G,5.85525,-2.69452,2.51346,4.54915,3.68483,1.03791,2.39095,1,T,3.55776,-1.08789,0.0224745,3.38562,1.08813,1.85311,3.12094,1
172791,613609362,G,9.19681,-7.36409,4.55104,3.10296,8.65689,0.351175,2.58804,1,G,8.49609,-7.19618,1.59815,4.22295,7.37151,0.545426,2.92306,-1
172791,613952780,G,11.2638,2.09587,4.65616,-10.0394,5.10613,-1.42839,1.14784,1,G,6.46472,1.24972,4.15235,-4.79351,4.33633,-0.953994,1.27845,-1
172791,614180681,G,15.7168,-13.0129,8.71063,-1.34012,15.6592,-0.085476,2.55171,1,G,9.05066,-6.70082,5.93077,1.35214,8.54065,0.100866,2.41281,-1
172791,614627174,G,18.2841,8.34853,-7.9271,-14.2042,11.5125,-1.03744,-0.75951,1,G,4.47037,2.11842,-2.84314,-2.72064,3.5578,-0.706814,-0.930663,1
172791,614645966,G,9.79778,-5.10902,6.64488,-5.07237,8.38192,-0.573241,2.22626,-1,G,10.7631,-4.41951,6.66461,-7.20303,7.99682,-0.809415,2.15635,1
172791,614727024,G,36.0126,17.2903,4.62933,-31.2491,17.8993,-1.32382,0.261605,1,G,15.8816,7.34009,4.0829,-13.4784,8.39923,-1.25148,0.507626,-1
172791,614734904,G,23.706,-2.49571,-23.3657,-3.1271,23.4986,-0.132686,-1.6772,1,G,3.59218,-1.42395,-3.29604,0.0330527,3.59048,0.00920552,-1.9786,-1
172791,614302504,G,9.87767,-2.05937,9.06414,3.3403,9.29514,0.352043,1.7942,1,G,5.71851,-2.66633,3.93042,3.18319,4.74947,0.628098,2.16687,-1
172791,613986191,G,11.018,6.6182,-7.24774,-5.00554,9.8148,-0.490138,-0.830769,1,G,14.5968,6.8383,-11.4003,-6.02722,13.2939,-0.439131,-1.0305,-1
172791,614684251,G,21.9639,12.8872,-7.82224,15.9729,15.0754,0.922853,-0.545535,1,G,14.9003,10.7873,-3.60605,9.62487,11.374,0.768349,-0.322609,-1
172791,614498320,G,14.057,13.9181,-1.93638,-0.351572,14.0522,-0.0250164,-0.138239,1,G,9.66061,9.23765,-1.66476,2.28269,9.38645,0.240855,-0.178301,-1
172791,613419261,G,12.9024,-7.32481,-6.78485,8.17155,9.98434,0.747,-2.39444,-1,T,4.21531,-3.4688,-1.04599,2.15198,3.62308,0.563644,-2.84872,-1
172791,614038973,G,32.2247,3.09599,12.5027,29.5384,12.8803,1.56761,1.32805,-1,G,25.714,2.87448,11.5287,22.804,11.8817,1.40693,1.32645,1
172791,614353765,G,25.701,-0.922636,-12.5395,22.4151,12.5734,1.34203,-1.64424,-1,G,77.0821,-7.88014,-35.9994,67.7021,36.8518,1.36834,-1.78629,1
172791,615102655,G,7.35665,2.95319,6.63426,1.17236,7.26187,0.160748,1.15199,1,G,7.65564,5.08327,5.65546,-0.879636,7.6042,-0.115421,0.838631,-1
172791,615369039,G,14.3094,3.71348,-6.37808,12.2587,7.38037,1.28087,-1.04355,-1,G,12.4114,5.38716,-4.51051,10.2306,7.0261,1.17015,-0.697058,1
172791,615523155,G,25.6627,2.52888,16.8589,-19.1819,17.0475,-0.967196,1.4219,1,G,13.6187,-0.901146,9.08502,-10.1049,9.1296,-0.95493,1.66966,-1
